ID,stylo_filename,decade,title,author,gnd,forename,surename,birth_year,death_year,gender,filename,pubyear,genre,text_length,sorted_nationality,sources,timeslot,city,corpus
64,Mayer_RobertLeichtfuß_gutenberg.txt,1860.0,Robert Leichtfuß,Hans von Hopfen,https://d-nb.info/gnd/116981385,Hans,Hopfen,1840,1909,männlich,Mayer_RobertLeichtfuß_gutenberg.txt,1890.0,Roman,140035,Deutschland; Österreich,https://www.projekt-gutenberg.org/hopfen/leichtfu/leichtfu.html,1840-1859,berlin,sunset
65,Laube_DerdeutscheKriegIBuchJunkerHans1Theil_gutenberg.txt,1820.0,"Der deutsche Krieg. I. Buch, Junker Hans. 1. Theil",Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,Laube_DerdeutscheKriegIBuchJunkerHans1Theil_gutenberg.txt,1863.0,Roman,102334,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/dkrieg1/dkrieg1.html,1800-1819,vienna,sunset
66,"Laube_DerdeutscheKrieg.I.Buch,JunkerHans.2.Theil.txt",1860.0,"Der deutsche Krieg. I. Buch, Junker Hans. 2. Theil",Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,"Laube_DerdeutscheKrieg.I.Buch,JunkerHans.2.Theil.txt",1863.0,Roman,92210,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/dkrieg2/dkrieg2.html,1800-1819,vienna,sunset
67,"Laube_DerdeutscheKrieg.I.Buch,JunkerHans.3.Theil.txt",1860.0,"Der deutsche Krieg. I. Buch, Junker Hans. 3. Theil",Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,"Laube_DerdeutscheKrieg.I.Buch,JunkerHans.3.Theil.txt",1863.0,Roman,82101,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/dkrieg3/dkrieg3.html,1800-1819,vienna,sunset
68,"Laube_DerdeutscheKrieg.II.Buch,Waldstein.1.Theil.txt",1860.0,"Der deutsche Krieg. II. Buch, Waldstein. 1. Theil",Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,"Laube_DerdeutscheKrieg.II.Buch,Waldstein.1.Theil.txt",1863.0,Roman,110706,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/dkrieg4/dkrieg4.html,1800-1819,vienna,sunset
69,Laube_Reisenovellen-Band2.txt,1830.0,Reisenovellen - Band 2,Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,Laube_Reisenovellen-Band2.txt,1834.0,Novelle,99554,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/reisnov2/reisnov2.html,1800-1819,vienna,sunset
70,Laube_Reisenovellen-Band3.txt,1830.0,Reisenovellen - Band 3,Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,Laube_Reisenovellen-Band3.txt,1834.0,Novelle,30463,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/reisnov3/reisnov3.html,1800-1819,vienna,sunset
71,Laube_Reisenovellen-Band4.txt,1830.0,Reisenovellen - Band 4,Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,Laube_Reisenovellen-Band4.txt,1834.0,Novelle,40390,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/reisnov4/reisnov4.html,1800-1819,vienna,sunset
72,Laube_Reisenovellen-Band5.txt,1830.0,Reisenovellen - Band 5,Heinrich Laube,http://d-nb.info/gnd/118570080,Heinrich,Laube,1806,1884,männlich,Laube_Reisenovellen-Band5.txt,1834.0,Novelle,68774,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/laube/reisnov5/reisnov5.html,1800-1819,berlin,sunset
73,Zschokke_DieRosevonDisentis_gutenberg.txt,1810.0,Die Rose von Disentis,Heinrich Zschokke,http://d-nb.info/gnd/118637266,Heinrich,Zschokke,1771,1848,männlich,Zschokke_DieRosevonDisentis_gutenberg.txt,1844.0,Roman,76229,Deutschland; Schweiz,https://www.projekt-gutenberg.org/zschokke/disentis/disentis.html,1760-1779,vienna,sunset
